id,질문,예상답변,정답
734,Natierra Nature Earth Organic Blueberries의 회수 사유는 무엇인가요?,"회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 제품 회수 사유를 정확히 알려주시면 도와드리겠습니다. 만약 일반적인 경우라면, 보통은 품질 문제나 안전성 우려 때문일 가능성이 높습니다. 하지만 특정 사유를 알 수 없으니 더 자세한 정보를 부탁드립니다.",메릴랜드주 보건부의 검사 결과 높은 수준의 납이 검출됨.
735,미국 환경보호청의 업데이트된 식이노출평가모델(DEEM)은 언제부터 공개되었나요?,미국 환경보호청의 업데이트된 식이노출평가모델(DEEM)은 2021년 1월부터 공개되었습니다.,업데이트된 식이노출평가모델과 섭취데이터는 2014년 9월부터 공개되었습니다.
736,Skittles 제품에 대해 제기된 소송의 주요 이유는 무엇인가?,Skittles 제품에 대한 소송의 주요 이유는 주로 알레르기 유발 성분의 표기 미흡이나 허위 광고 관련 사항이었습니다. 하지만 구체적인 소송 내용은 제공된 정보로는 정확히 특정하기 어렵습니다. 일반적으로는 소비자 기만이나 안전 관련 문제가 핵심이 될 수 있습니다.,"Skittles 제품에 섭취하기에 부적합한 '독소'가 함유되어 있다고 주장하며, 특히 '높은 수준의' 이산화티타늄이 포함되어 있어 소비자에게 안전하지 않다는 이유로 소송이 제기되었다."
737,Hearth Hand™ with Magnolia Tea Kettles의 회수 사유는 무엇인가?,"Hearth HandTM with Magnolia Tea Kettles의 회수 사유는 제품 결함이나 안전 문제가 발견되었을 때로 추정됩니다만, 정확한 사유는 제조사의 공식 발표를 통해 확인해야 합니다. 정확한 정보가 없으므로 구체적인 사유는 제공할 수 없습니다.","찻주전자의 바닥에서 페인트가 떨어져 화재의 위험이 있으며, 손잡이가 부러지고 주둥이가 새서 화상의 위험이 있기 때문입니다."
738,니미츠(Nimitz)는 어떤 작물에 사용하기 위해 개발되었나요?,니미츠는 주로 옥수수에 사용하기 위해 개발되었습니다.,"니미츠는 당근, 쿠마라(kūmara), 파스닙, 감자에 사용하기 위해 개발되었습니다."
739,미국 환경보호청은 언제까지 PVC를 유해 폐기물로 분류할지에 대한 잠정 결정을 내릴 예정인가요?,미국 환경보호청은 2023년 12월 31일까지 PVC를 유해 폐기물로 분류하는 잠정 결정을 내릴 예정입니다.,2023년 1월까지 잠정적인 결정을 내릴 예정입니다.
740,뉴질랜드 환경보호청은 글리포세이트에 대한 마오리족의 견해를 어떻게 수집할 계획인가?,뉴질랜드 환경보호청은 마오리족 단체와의 협의를 통해 설문조사와 공청회 개최를 계획하고 있습니다.,EPA의 다음 단계에는 글리포세이트에 대한 마오리족의 견해를 적극적으로 요청하는 것이 포함됨.
741,유럽의회는 플루미옥사진의 승인 기간 연장 결정에 대해 어떤 입장을 가지고 있나요?,유럽의회는 플루미옥사진의 승인 기간 연장 결정에 대해 공식적인 입장을 발표하지 않았습니다.,"유럽의회는 플루미옥사진의 승인 기간 연장 결정이 규정(EC) 1107/2009에 명시된 안전기준에 부합하지 않으며, 해당 물질이 안전하게 사용될 수 있다는 증거나 EU 내 식품 생산에 시급히 필요한 성분이라는 증거에 기초하지 않는다고 보고 있습니다."
742,캐나다 식품검사청의 조사에서 BPA가 가장 많이 검출된 식품 유형은 무엇인가요?,"캐나다 식품검사청의 조사 결과에 따르면, BPA가 가장 많이 검출된 식품 유형은 캔 음료입니다.","통조림화된 육류, 어류 및 채소에서 BPA가 상대적으로 더 높게 검출되었습니다."
743,FSIS가 조류 백혈병 규제 폐지를 제안한 이유는 무엇인가?,FSIS는 조류 백혈병 규제 폐지를 제안하면서 주로 소비자 선호도 변화와 과학적 연구 결과에 따른 식품 안전성 강화를 이유로 들었습니다.,FSIS는 조류 백혈병이 극히 드문 질환이며 인간의 건강에 문제가 없음을 확인하는 과학 및 최신 수의학 지식을 따라잡기 위해 정책을 현대화하고자 조류 백혈병 규제 폐지를 제안하고 있다.
744,영국에서 온라인으로 불법 판매되고 있는 대마 식품은 주로 어떤 형태로 판매되나요?,영국에서 온라인으로 불법 판매되는 대마 식품은 주로 씨앗 형태나 오일 형태로 판매됩니다.,대마 식품은 주로 젤리 사탕류 형태로 판매됩니다.
745,"Shemshad Food Products, Inc가 회수한 Pomegranate Fruit Roll Ups의 나트륨 함량은 얼마나 초과되었나요?",회수된 제품의 나트륨 함량 초과량에 대한 구체적인 수치는 제공된 정보에서 확인할 수 없습니다. 최대 허용치와 회수된 제품의 나트륨 함량 차이를 확인해야 합니다.,표시된 것보다 131% 많은 나트륨 함량으로 회수되었습니다.
746,백악관이 2030년까지 달성하고자 하는 주요 목표는 무엇인가?,"백악관의 2030년까지의 주요 목표는 구체적으로 공개되지 않았으나, 일반적으로 기후 변화 대응, 경제 성장 촉진, 사회 공정성 강화 등이 포함될 가능성이 있습니다. 정확한 목표는 공식 발표를 통해 확인해야 합니다.","기아 종식, 영양 및 신체 활동 개선, 식이 관련 질병 감소, 불평등 해소"
747,영국 영양재단 조사에 따르면 영국 성인의 몇 퍼센트가 당근에 섬유질이 있다는 것을 알고 있나요?,"영국 영양재단의 구체적인 조사 결과를 확인할 수 없으나, 일반적으로 영양 정보에 대한 인식은 낮아 정확한 퍼센트를 제공하기 어렵습니다. 특정 조사 결과가 요구된다면, 해당 조사 자료를 참조해야 합니다.",38%
748,2021년에 상위 200개 레스토랑 체인점 중 몇 퍼센트가 어린이 메뉴에 가당음료를 제공했나요?,"자료에 따르면, 구체적인 퍼센트는 명시되지 않았으나 많은 상위 체인점들이 어린이 메뉴에 가당음료 옵션을 제공하는 추세였습니다. 정확한 퍼센트 제공은 불가능합니다.",44%
749,"영국 정부가 지방, 소금, 설탕 함량이 높은 식품과 음료에 대한 판촉 규제를 연기한 이유는 무엇인가?",영국 정부는 경제적 부담과 산업계의 우려를 이유로 판촉 규제 시행을 연기했습니다.,세계 경제 상황을 감안하여 생활비에 대한 규제 영향을 검토하고 감시하기 위해 연기되었다.
750,한국산 오징어 완자가 부적합 판정을 받은 이유는 무엇인가요?,"한국산 오징어 완자가 부적합 판정을 받은 구체적인 이유에 대한 공식 발표는 공개되지 않았습니다. 다만, 식품 안전 기준에 부합하지 않거나 위생 문제와 관련된 경우가 많습니다. 정확한 사유는 관련 기관의 공식 발표를 참고해야 합니다.",오징어 완자에 비타민 C가 허용되지 않음에도 포함되어 있어 부적합 판정을 받았습니다.
751,영국인들이 탄산음료의 성분 목록을 얼마나 자주 읽나요?,"영국인들의 경우, 일반적으로 건강이나 특정 성분에 대한 관심이 높지 않아 탄산음료 성분 목록을 자주 읽지는 않는 것으로 보입니다. 하지만 개인의 건강 의식 수준에 따라 차이가 있을 수 있습니다.",탄산음료를 마시는 영국 사람들의 32%만이 정기적으로 성분 목록을 읽습니다.
752,호주 음료부문 산업체가 탄산음료 당세 인상이 효과가 없다고 주장하는 이유는 무엇인가?,호주 음료 산업체는 탄산음료 당세 인상이 효과가 없다고 주장하는 이유는 가격 인상으로 인한 수요 감소가 생산 비용 상승을 상쇄할 만큼 크지 않기 때문입니다.,"ABCL은 당세와 같은 정책이 효과가 있다는 증거가 거의 없으며, 경제적 제재가 일자리와 생존에 해로운 영향을 미칠 것이라고 주장했다."
753,Norish brand Flourishing Cauliflower Corn Baby Purée Powder의 회수 사유는 무엇인가요?,회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 제품 회수 사유에 대해서는 공식 발표나 제조사의 공지를 확인해 주세요.,높은 요오드 수치(high iodine levels) 때문입니다.
754,미국 농무부가 발표한 식품 시스템 혁신 프레임워크의 주요 목표는 무엇인가?,"미국 농무부의 식품 시스템 혁신 프레임워크 주요 목표는 식품 시스템의 효율성, 안전성, 지속 가능성을 향상시키는 것입니다.","식품 시스템 혁신 프레임워크의 주요 목표는 탄소 오염 저감, 소비자와 생산자에게 더 나은 시장 옵션 제공, 보다 탄력적인 식품 공급망 구축, 지역 시장 옵션 창출을 통한 공정한 식품 시스템 구축, 접근성 있고 저렴하며 영양이 풍부한 식품 생산, 형평성 강조 등이다."
755,유니세프가 6개월에서 2세 어린이의 영양 문제 해결을 위해 요구하는 주요 행동은 무엇인가?,유니세프는 6개월에서 2세 어린이의 영양 문제 해결을 위해 모유 수유 장려와 적절한 영유아 영양 보충제 제공을 주요 요구 사항으로 제시합니다.,"유니세프는 어린이 식이에 대한 '더 과감한 행동'과 '더 큰 책무'를 요구하며, 정책 입안자들에게는 영양가 높은 식품의 생산, 유통 및 소매업을 장려함으로써 공급 가능성 및 감당가능성을 높일 것을 요구하고 있다."
756,New Universal Nourishment LLC가 회수한 소고기 버거 패티 제품의 유통기한은 언제인가?,회수된 소고기 버거 패티 제품의 구체적인 유통기한 정보는 공개되지 않았습니다.,2/27/2023
757,유엔식량농업기구의 해조류 식품안전 전문가 회의는 언제 개최되었나요?,유엔식량농업기구의 해조류 식품안전 전문가 회의에 대한 구체적인 개최 날짜는 제공된 정보로는 확인할 수 없습니다. 정확한 날짜를 알고 싶으시다면 공식 유엔 웹사이트나 관련 보고서를 참조해 주세요.,2021년 10월 28-29일에 화상으로 개최되었습니다.
758,METALLISK 에스프레소 메이커의 회수 사유는 무엇인가요?,"METALLISK 에스프레소 메이커의 회수 사유는 제품의 성능 문제나 안전 기준 미충족 등이 일반적입니다만, 구체적인 사유는 공식 발표나 제품 설명서를 통해 확인해야 합니다. 공식 정보 없이 정확히 말씀드리기 어렵습니다. 만약 특정 사례에 대해 궁금하시다면 해당 사례에 대한 정보를 제공해 주시면 더욱 정확한 답변을 드릴 수 있습니다.",파열로 뜨거운 내용물이 나와 소비자에게 화상 및 기타 부상 위험을 초래할 수 있음
759,미국 식품안전검사국이 중국산 육류 및 가금류 제품에 대해 공중보건경보를 발령한 이유는 무엇인가?,미국 식품안전검사국이 중국산 육류 및 가금류 제품에 대해 공중보건경보를 발령한 것은 해당 제품들에서 발생한 식품 안전 문제로 인한 소비자 건강 위협 때문입니다.,미국 식품안전검사국은 부적격 육류 및 가금류 제품이 수입재검사를 위해 제출되지 않았음을 확인하여 공중보건경보를 발령하였다.
760,METALLISK 에스프레소 메이커의 회수 사유는 무엇인가요?,"METALLISK 에스프레소 메이커의 회수 사유는 제품 결함이나 사용자 안전 문제 등이지만, 구체적인 사유는 제조사의 공식 발표나 고객 서비스 확인이 필요합니다. 제공된 정보만으로는 정확한 사유를 명시할 수 없습니다. 만약 특정 사유에 대한 정보가 있다면 그에 맞춰 간결하게 제공하겠습니다. 추가 정보가 필요합니다.",폭발 및 뜨거운 내용물 배출로 인한 화상 및 부상 위험 때문입니다.
761,Kraft Heinz가 회수하는 Capri Sun Wild Cherry Flavored Juice Drink Blend의 회수 사유는 무엇인가요?,회수 사유는 제품에 곰팡이 오염의 가능성이 확인되었기 때문입니다.,식품가공 장비에 사용되는 희석된 세척용액이 부주의로 인해 생산라인에 들어가게 되었기 때문입니다.
762,Fresh Express가 샐러드 제품 회수를 발표한 날짜는 언제인가요?,Fresh Express가 샐러드 제품 회수를 발표한 정확한 날짜는 공개되지 않았습니다. 보다 정확한 정보를 위해서는 공식 발표나 뉴스 기사를 참고하시는 것이 좋습니다.,12월 20일입니다.
763,뉴질랜드 맥도날드에서 McBites 메뉴 품목이 회수된 이유는 무엇인가요?,뉴질랜드 맥도날드에서 McBites 메뉴 품목이 회수된 이유는 제품의 오염 우려 때문입니다. 하지만 구체적인 공식 발표 내용 없이 이와 같이 답변 드립니다. 정확한 사유는 맥도날드의 공식 발표를 참고하시는 것이 가장 좋습니다.,생산 시 제품 크기 규격 이탈로 인해 조리되지 않은 상태로 제공되었기 때문입니다.
764,Beyond Meat 공장에서 리스테리아균이 검출된 시기는 언제인가?,Beyond Meat 공장에서 리스테리아균이 검출된 구체적인 시기에 대한 공개된 정보는 제공된 조건 내에서는 알 수 없습니다. 공식 발표나 신뢰할 수 있는 뉴스 출처를 통해 확인해 보시는 것이 좋습니다.,2021년 하반기와 올 상반기에 최소 11번 검출되었다.
765,MannaMilk의 소유주는 누구인가?,MannaMilk의 소유주에 대한 특정 정보가 공개적으로 충분히 제공되지 않았습니다. 정확한 소유주 정보를 제공하기 어렵습니다.,John Albert Martin
766,미국 식품안전검사국이 추가로 확인한 부적격 육류 및 가금류 제품은 무엇인가?,"미국 식품안전검사국(FSIS)이 추가로 확인한 특정 부적격 육류 및 가금류 제품 목록은 실시간 업데이트에 따라 달라질 수 있습니다. 구체적인 최근 정보 없이 일반적으로 답변 드리자면, 보통 유통기한 위반, 미생물 오염, 라벨링 오류 등이 포함될 수 있습니다. 정확한 항목 확인을 위해서는 FSIS 공식 발표를 참조하시기 바랍니다.","Yu Yu Chicken Legs, Dr. Diary’s Goose’s Grease, Kung Fu Sauce Goose Grease with Shallots"
767,BASF의 유전자변형 LBFLFK 카놀라 오일은 식품용으로 안전한가?,BASF의 유전자변형 LBFLFK 카놀라 오일은 식품의약품안전처에서 안전성을 인정받은 제품이므로 식품용으로 안전하다고 간주됩니다.,"BASF의 결론에 따르면, LBFLFK 카놀라에서 추출한 오일은 식품용으로 안전하다."
768,영국 식품기준청의 CBD 제품 공개 목록에 등재되기 위해 업체가 제출해야 하는 증거는 무엇인가?,"영국 식품기준청(FSA)의 CBD 제품 공개 목록 등재를 위해 업체는 제품 성분의 분석 결과, 제조 공정의 투명성 증거, 안전성 평가 보고서 등을 제출해야 합니다.",업체는 자사의 제품이 신뢰할 수 있는 신청 건과 연계되어 있으며 2020년 2월 이전에 시장에 나왔다는 증거를 제출해야 한다.
769,영국 환경식품농촌부가 승인한 유전자변형 보리의 시험재배 목적은 무엇인가?,영국 환경식품농촌부가 승인한 유전자변형 보리의 시험재배 목적은 농업 생산성 향상 및 기후 변화 적응력 강화입니다.,자연적으로 발생하는 토양 곰팡이와의 개선된 작물 상호작용이 보다 지속가능한 식량 생산으로 귀결될 수 있는지 여부를 평가하기 위함이다.
770,인도 식품안전기준청이 대마씨 제품에 대해 설정한 THC 기준은 무엇인가요?,인도 식품안전기준청은 대마씨 제품의 THC 기준을 **0.3% 이하**로 설정하고 있습니다.,"대마씨 제품에 대한 THC 기준은 대마씨와 대마씨 분말의 경우 최대 5.0mg/kg, 대마씨 추출 기름의 경우 최대 10.0mg/kg, 대마씨로 만든 음료의 경우 0.2mg/kg입니다."
771,바이든 대통령이 서명한 새로운 행정명령의 주요 목표는 무엇인가?,"바이든 대통령의 새로운 행정명령의 주요 목표는 명확하게 공개되지 않았으나, 일반적으로 기후 변화 대응, 인프라 투자, 사회 정의 강화 등에 초점을 맞춥니다. 구체적인 내용은 공식 발표를 통해 확인해야 합니다.","새로운 행정명령의 주요 목표는 농업, 기후변화, 에너지, 식량안보, 보건 문제에 대한 혁신적인 해결책을 촉진하는 것이다."
772,영국 정부가 유전자 편집 법안을 통해 기대하는 주요 효과는 무엇인가?,영국 정부는 유전자 편집 법안을 통해 안전성 확보와 윤리적 기준 마련을 통해 신뢰성 있는 연구 환경을 구축하고 혁신적인 유전자 편집 기술의 안전한 발전을 촉진하려 합니다.,유전자 편집은 앞으로 10년 안에 전세계 식량안보를 획기적으로 높이고 화학비료와 살충제에 대한 의존도를 줄일 수 있을 것으로 기대된다.
773,영국 성인의 몇 퍼센트가 의료 목적으로 CBD 또는 대마오일을 사용한 적이 있나요?,영국 성인의 약 1%가 의료 목적으로 CBD 또는 대마 오일을 사용한 적이 있다고 합니다.,약 20%
774,영국 소비자들이 식물성 단백질을 섭취하려는 주된 이유는 무엇인가?,영국 소비자들은 주로 환경 보호와 건강 개선을 위해 식물성 단백질을 섭취하려 합니다.,식품 안전에 대한 확신이 주된 이유이다.
775,미국 식품안전센터와 국제기술평가센터가 FDA에 청원한 주요 내용은 무엇인가?,미국 식품안전센터와 국제기술평가센터가 FDA에 청원한 주요 내용은 구체적인 공식 문서나 발표 없이는 명시하기 어렵습니다. 정확한 내용을 알고 싶으시다면 관련 기관의 공식 발표나 보고서를 참조하시는 것이 가장 좋습니다.,영아용 조제식 내 신규 나노물질을 규제할 것을 청원하였다.
776,서태평양 세계보건기구가 식물성 육류 및 배양육 제품의 규제를 위해 어떤 활동을 했나요?,"서태평양 세계보건기구(WHO)는 주로 식물성 육류와 배양육 제품의 규제에 대한 직접적인 활동 기록을 공개적으로 제시하지 않았으나, 식품 안전성과 관련된 지침 및 권고 사항을 통해 간접적으로 관련 규제를 지원하고 있습니다.","서태평양 세계보건기구는 식물성 육류 및 배양육 제품의 생산, 마케팅 및 소비를 규제하기 위해 회외국을 지원하기 위한 워크숍을 개최하였습니다."
777,국제원자력기구의 특별조사단은 언제 일본을 방문할 예정인가?,국제원자력기구의 특별조사단은 2월 말 일본을 방문할 예정입니다.,2월 14일부터 18일까지 일본에 머물 예정이다.
778,영국 식품기준청의 과학자문위원회와 합동전문가위원회의 2022/23 자체평가서의 주요 목표는 무엇인가?,영국 식품기준청의 과학자문위원회와 합동전문가위원회의 2022/23 자체평가서의 주요 목표는 과학적 근거에 기반한 규제 제안을 통해 식품 안전과 품질을 향상시키는 것입니다.,"SAC와 JEG의 역할과 목적이 FSA, 소비자 및 더 넓은 정부의 미래 요구 해결에 적절하고 기구의 효율적 운영에 대한 확신을 FSA와 그 이해관계자에게 제공하는 것이다."
779,베트남에서 식중독으로 사망한 중국인 선원은 몇 명인가요?,베트남에서 식중독으로 사망한 중국인 선원의 정확한 인원수에 대한 최신 정보를 제공하기 어렵습니다. 구체적인 사건에 대한 최신 통계나 보고서가 공유되지 않았기 때문입니다. 특정 사건에 대한 자세한 내용은 관련 뉴스 기사나 공식 발표를 참조하시기 바랍니다.,12명
780,유럽의회가 공개한 영상은 공동농업정책에 대해 무엇을 보여주나요?,"유럽의회가 공개한 영상은 공동농업정책의 핵심 목표와 원칙, 그리고 이를 실현하기 위한 주요 정책 수단들을 시각적으로 보여줍니다.",해당 영상은 유럽 농업 형성 과정과 농업인들의 권리 등에 관한 공동농업정책의 역할을 확인할 수 있음.
781,"유럽식품안전청이 2022 원-헬스, 환경, 사회 컨퍼런스에서 발표한 주요 권고 사항은 무엇인가?","유럽식품안전청(EFSA)의 2022 원-헬스, 환경, 사회 컨퍼런스 관련 주요 권고 사항에 대한 구체적인 정보가 공개 자료에 명확히 나열되어 있지 않습니다. 정확한 내용을 제공하기 위해서는 해당 컨퍼런스의 공식 발표 자료나 보고서가 필요합니다. 일반적으로 이러한 컨퍼런스에서는 식품 안전, 환경 보호, 사회적 책임에 관한 권장 사항들이 다루어지지만, 특정 권고 사항을 명시하기 위해서는 더 구체적인 정보가 필요합니다.","유럽식품안전청은 2022 원-헬스, 환경, 사회 컨퍼런스에서 식품 안전 관리 개선을 위한 전략적 권고 사항으로 데이터를 기반으로 최신 과학, 기술 파악, 미래 대응을 위한 투자, 지속 가능한 식품 시스템으로의 전환 지원, 사회에 대한 관련성 고취, EU 및 세계에 걸친 식품 안전 관계자와의 협업, 원헬스 접근 방식 적용을 발표했다."
782,EFSA의 'FoodEx2' 시스템은 어떤 목적으로 개발되었나요?,EFSA의 'FoodEx2' 시스템은 식품 안전 데이터를 체계적으로 관리하고 분석하기 위해 개발되었습니다.,'FoodEx2'는 다양한 영역의 데이터 수집 요구사항을 충족하기 위해 유럽식품안전청(EFSA)이 개발한 포괄적인 식품분류 및 소개 시스템입니다.
783,병아리콩 표준 변경에 대한 논평 마감일은 언제인가요?,답변드릴 정보가 부족하여 정확한 마감일을 알려드리지 못합니다. 관련 기관에 문의하시길 권장드립니다.,2022년 12월 12일임.
784,호주에서 신맛 롤리 사탕이 위험한 이유는 무엇인가?,호주에서 신맛 롤리 사탕이 위험한 이유는 주로 어린이들이 신맛에 민감하게 반응하여 구강 자극으로 인한 통증이나 불편함을 겪을 수 있기 때문입니다.,"신맛 롤리 사탕은 높은 산성으로 인해 혀에 화학적 화상을 유발할 수 있으며, 실험실 검사에서 대부분의 신맛 롤리 사탕이 식초보다 더 산성인 것으로 밝혀졌기 때문이다."
785,웨스턴오스트레일리아주에서 2023년 1월 1일부터 추가로 금지되는 일회용 플라스틱 제품은 무엇인가?,2023년 1월 1일부터 웨스턴오스트레일리아주에서 추가로 금지되는 일회용 플라스틱 제품은 스트로우와 플라스틱 접시입니다. 하지만 정확한 제품 목록은 공식 발표를 통해 확인해야 합니다.,"베리어/농산물 봉투, 마이크로비드, 폴리스티렌 포장, 폴리스티렌 컵, 커피 컵 및 뚜껑, 플라스틱 막대가 있는 면봉, 컵 및 그릇의 뚜껑"
786,버지니아 주지사가 철회한 일회용 플라스틱 제한은 어떤 주지사의 명령이었나요?,버지니아 주지사로서 일회용 플라스틱 제한을 철회한 사람은 랠프 노어스입니다.,Ralph Northam 전 주지사의 2021년 명령
787,통가 화산 폭발로 인해 어떤 물질들이 수원과 식량원에 위협을 줄 수 있나요?,"통가 화산 폭발로 인해 화산재와 유독 가스가 수원을 오염시키고, 화산재는 토양을 덮어 식량 생산을 저해할 수 있습니다.","화산재, 가스, 해수의 독성 혼합체가 수원과 식량원에 위협을 줄 수 있습니다."
788,북동해안에서 발견된 게와 바닷가재의 폐사 원인은 무엇인가?,동해 온난화와 오염으로 인한 환경 변화가 주요 폐사 원인입니다.,자연적으로 발생한 유해 조류 대증식 때문일 가능성이 있음.
789,스타벅스는 재사용 가능한 컵 사용을 어떻게 장려하고 있나요?,"스타벅스는 재사용 가능한 컵 사용을 위해 할인 혜택과 함께 이벤트를 진행하고, 고객들이 자신의 컵을 자주 사용하도록 장려합니다.","스타벅스는 재사용 가능한 컵을 사용하는 고객에게 50센트 할인을 제공하고, 일회용 용기에 음료를 받는 고객에게는 10센트 추가 요금을 부과하고 있습니다."
790,Fry's Orange Cream (Dark Chocolate Bar) 제품의 회수 이유는 무엇인가요?,"회수 이유에 대한 구체적인 정보가 제공되지 않았습니다. 제품 문제나 안전 관련 사항이 확인되지 않았다면, 일반적으로는 품질 문제나 라벨링 오류 등이 회수 사유가 될 수 있습니다. 정확한 사유를 알고 싶으시다면 제조업체나 관련 기관에 문의하시는 것이 좋습니다.",알레르기 유발물질 우유가 라벨에 표시되지 않아서입니다.
791,Kinder 초콜릿 제품과 관련된 살모넬라 감염 사례는 영국에서 몇 건 발생했나요?,영국에서 Kinder 초콜릿 제품과 관련된 살모넬라 감염 사례는 2023년까지 총 19건 발생했습니다.,영국에서 67건의 살모넬라 감염 사례가 발생했습니다.
792,Thai Noodle Salad Kit의 회수 이유는 무엇인가요?,"태국 누들 샐러드 키트의 회수 이유에 대한 구체적인 정보는 공개되지 않았습니다. 제품 관련 안전 문제나 품질 이슈가 발생했을 가능성이 있지만, 정확한 이유는 확인되지 않았습니다.",플렉시글라스 이물 혼입 가능성 때문입니다.
793,Pacific Golden Coast Trading Inc가 회수하는 중국산 자두 가공품의 회수 사유는 무엇인가요?,회수 사유는 제품이 안전 기준을 위반했거나 품질 문제로 인한 것으로 알려져 있습니다. 정확한 사유는 공개되지 않았습니다.,높은 수준의 납
794,영국 정부가 도입해야 한다고 촉구받은 정책은 무엇인가?,"영국 정부가 도입해야 한다고 촉구받은 정책은 기후 변화 대응 관련 정책들입니다, 특히 재생 에너지 확대와 탄소 배출 감소 방안들이 주요합니다.",포괄적이고 의무적인 소금 목표를 도입하여 식품 산업이 건강 정책을 우선시하도록 촉구받았다.
795,FDA는 해외 감시 실사를 언제 정기적인 비율로 재개할 계획인가?,FDA는 공식적으로 정기적인 해외 감시 실사 재개 일정을 공개하지 않았습니다.,FDA의 목표는 4월에 정기적인 비율의 해외 감시 실사로 돌아가는 것임.
796,"ZeaKal, Inc.의 유전자변형 대두 식물이 규제 대상에서 제외된 이유는 무엇인가?","ZeaKal, Inc.의 유전자변형 대두 식물이 규제 대상에서 제외된 이유는 식품의약품안전처의 결정에 따라 안전성과 식품 위해성이 인정되었기 때문입니다.","ZeaKal, Inc.의 유전자변형 대두 식물은 기타 대두 식물에 비해 식물 병해충 위험을 증가시킬 가능성이 낮다고 판단되어 규제 대상에서 제외되었다."
797,groundwork MIND-FULL Bar 제품의 회수 이유는 무엇인가요?,groundwork MIND-FULL Bar 제품의 회수 이유는 제품 내 금속 조각이 포함되어 있어 안전성 문제가 발생했기 때문입니다.,오리건주 농무부에 따르면 알레르기 유발성분이 올바르게 표시되지 않았기 때문입니다.
798,FAO와 WHO가 식품 안전의 미생물학적 관점에서 가장 우려되는 식품으로 선정한 것은 무엇인가요?,FAO와 WHO는 **해산물**을 식품 안전의 미생물학적 관점에서 가장 우려되는 식품으로 선정했습니다.,시리얼 및 곡물
799,Tomato Head Foods가 회수한 후무스 제품의 유통기한은 언제인가요?,회수 후무스 제품의 정확한 유통기한 정보는 제공된 데이터에서 확인 불가능합니다. 제조일자와 유통기한은 제품 포장재에 명시되어 있습니다.,2023년 1월 8일
800,캐나다 식품검사청이 조사한 플랫브레드 및 비건 제품에서 프탈레이트가 검출된 비율은 얼마인가?,캐나다 식품검사청의 최근 조사 결과에 따르면 구체적인 비율은 공개되지 않았습니다. 정확한 비율 정보는 확인이 필요합니다.,조사한 샘플 599건 중 526개(88%)는 검출 가능한 수준의 프탈레이트를 포함하지 않았음.
801,미국 질병통제예방센터가 조사한 리스테리아 감염의 발생 사례 수는 몇 건인가요?,"미국 질병통제예방센터(CDC)의 공식 통계에서 특정 연도의 리스테리아 감염 발생 사례 수를 정확히 제공하기는 어렵습니다. 리스테리아 감염의 연간 발생 건수는 연도별로 변동되며, 공개된 최신 통계 없이 정확한 숫자를 제시하기는 제한적입니다. 정확한 수치를 원하신다면, CDC 웹사이트의 최신 보고서나 통계 자료를 참조하시는 것이 가장 좋습니다.",발생사례는 19건입니다.
802,튀르키예에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,"튀르키예에서 H5N1 조류 인플루엔자가 처음으로 확인된 날짜는 2005년으로 기록되어 있지만, 초기 발생에 대한 정확한 년도 정보는 공식 기록에 따라 다릅니다. 일반적으로 주목받는 초기 사건은 2006년에 더 많이 언급되지만, 가장 초기의 보고는 좀 더 이른 시기인 2005년 후반으로 추정됩니다. 명확한 날짜는 공개 자료에서 명확하게 확인되지 않습니다. 

**간결한 답변**: 튀르키예에서 H5N1 조류 인플루엔자의 초기 발생은 주로 2005년 후반으로 추정됩니다. 정확한 일자는 공식 기록에 따라 다릅니다.",2023년 1월 31일입니다.
803,Elkhorn Valley Pride Angus Beef 61226 BEEF CHUCK 2PC BNLS의 회수 사유는 무엇인가요?,"회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 제품 문제나 품질 기준 미달 등 다양한 사유가 있을 수 있으나, 특정 사유를 단정 짓기 위해서는 더 자세한 정보가 필요합니다. 만약 특정 사유가 있다면 그 내용을 함께 제공해 주시기 바랍니다. 현재로선 정확한 회수 사유를 알 수 없습니다.",시가독소생성 대장균(STEC O103) 오염 가능성
804,하코다테 연안에 물고기 폐사체가 떠밀려온 이유는 무엇인가?,하코다테 연안에 물고기 폐사체가 떠밀려온 주요 원인은 강한 바람과 조류의 영향으로 보입니다.,"하코다테 수산연구소 연구원인 후지오카 다카시는 물고기의 집단 폐사 이유에 대하여 얕은 바다에서 밀집된 무리를 지어 이동하는 동안 산소 부족으로 탈진했거나, 이동 중 갑자기 찬물에 들어가 쇼크에 빠졌을 수 있는 등의 가설을 제기했음."
805,헝가리에서 보고된 H5N1 조류 인플루엔자의 최초 발생일은 언제인가요?,"헝가리에서 보고된 H5N1 조류 인플루엔자의 최초 발생일에 대한 구체적인 기록은 명확하지 않으나, 일반적으로 유럽에서의 H5N1 조류 인플루엔자의 보고는 주로 1990년대 후반부터 시작되었습니다. 헝가리의 특정 연도에 대한 정확한 최초 발생 기록은 확인되지 않았습니다. 정확한 연도 정보는 제한적입니다.",2022년 12월 18일입니다.
