id,질문,예상답변,정답,제목,gold문서
873,G Fuel Tetris Blast 음료의 카페인 함량은 얼마인가?,G Fuel Tetris Blast 음료의 카페인 함량은 300mg입니다.,G Fuel Tetris Blast 음료는 캔(473ml)에 300mg의 카페인이 함유되어 있음.,"호주 남호주 정부, 애들레이드 상점에서 최대기준치의 약 두 배에 달하는 카페인을 함유한 에너지 드링크 발견돼","호주 남호주 정부, 애들레이드 상점에서 최대기준치의 약 두 배에 달하는 카페인을 함유한 에너지 드링크 발견돼 SA 보건 당국이 발견한 카페인 함량이 가장 높은 에너지 음료는 G Fuel Tetris Blast라고 표시된 음료였으며, 캔(473ml)에 무려 300mg의 카페인이 함유되어 있음. 이는 국가 식품 기준에 따라 허용되는 카페인 양(리터당 320mg)의 거의 두 배에 달하는 양임. 이는 코카-콜라 9캔 또는 커피 3샷에 해당함. 규정을 초과한 다른 에너지 음료는 C4 Performance Energy와 Ghost Energy..."
874,영국 건강캠페인단체들이 보건장관에게 촉구한 것은 무엇인가?,영국 건강캠페인단체들은 보건장관에게 새로운 유아용 식음료 지침의 공개를 촉구함.,유아용 식음료 제품이 영양학적으로 적절하도록 안내하는 지침의 공개를 촉구했다.,"영국 건강캠페인단체, 정부는 새로운 유아 식음료 가이드라인 발표해야","영국 건강캠페인단체, 정부는 새로운 유아 식음료 가이드라인 발표해야 영국 건강캠페인단체들은 인기 있는 상점에서 구입한 유아용 제품으로 섭취하게 되는 당 함량에 대한 우려 속에, 정부가 새로운 유아용 식음료 지침을 발표해야 한다고 함.  '액션온슈가(Action on Sugar)'는 건강 캠페인단체 16개와 공동으로 보건장관에게 보내는 공개 서한에 서명하여, 유아용 식음료 제품이 영양학적으로 적절하도록 안내하는 지침의 공개를 촉구함. 작년 말 단체가 영유아용 아침 식사 제품 약 100개를 분석한 결과, 모든 제품의 포장에 영양 또는 ..."
875,국제암연구소와 연구진이 조사한 예방 가능한 위험 요소는 무엇인가?,"흡연, 음주, 과체중 또는 비만, 인유두종바이러스(HPV) 감염 등이 예방 가능한 위험 요소입니다.","흡연, 음주, 과체중 또는 비만, 인유두종바이러스(HPV) 감염","국제암연구소 외 연구진, 7개국에서 음주, 비만 등 예방가능한 위험요소로 인한 암으로 매년 약 2백만 명 사망","국제암연구소 외 연구진, 7개국에서 음주, 비만 등 예방가능한 위험요소로 인한 암으로 매년 약 2백만 명 사망 국제암연구소(IARC)와 런던퀸메리대학교, 킹스칼리지런던 연구진의 새로운 연구(*)에 따르면, BRICS 국가(브라질, 러시아, 인도, 중국, 남아프리카공화국), 영국, 미국에서 매년 190만 명이 예방 가능한 4가지 위험 요소로 인한 암으로 목숨을 잃고 있음. 분석 대상인 7개국 (사망자 수의) 총계는 매년 전 세계 암으로 인한 사망자 수의 절반 이상을 차지함.  eClinicalMedicine에 발표된 동 연구는 흡연,..."
876,말레이시아 보건부는 경구 알로에 베라 제품과 어떤 신장 관련 부작용의 연관성을 주의 발표했나요?,"말레이시아 보건부는 경구 알로에 베라 제품 섭취와 급성 신장 손상, 기존 신장 문제 악화, 신장 기능 상실 등 혈중 크레아티닌 및 요소 수치 증가와의 연관성을 주의 발표했습니다.","급성 신장 손상, 기존 신장 문제 악화, 신장 기능 상실을 나타내는 혈중 크레아티닌 및 요소 수치 증가 등의 신장 관련 부작용과의 연관성을 주의 발표했습니다.","말레이시아 보건부, 경구 알로에 베라와 신장 부작용 간의 연관성 관련 주의 발표","말레이시아 보건부, 경구 알로에 베라와 신장 부작용 간의 연관성 관련 주의 발표 말레이시아 보건부는 경구 알로에 베라 제품과 신장 관련 부작용의 연관성에 대한 주의를 발표했음. 보건부 산하 국립의약품규제청(NPRA)에 따르면 2020년 2월부터 2023년 8월 사이에 단일 활성 성분만을 함유한 경구 알로에 베라 제품의 섭취와 '연관 가능성이 있는' 신장 관련 이상 반응 사례 5건이 접수되었음. 이상반응으로는 급성 신장 손상, 기존 신장 문제 악화, 신장 기능 상실을 나타내는 혈중 크레아티닌(creatinine) 및 요소 수치 증가 ..."
877,세계보건기구가 나트륨 섭취 저감을 위해 제안한 '베스트 바이' 개입 중 하나는 무엇인가?,세계보건기구가 나트륨 섭취 저감을 위해 제안한 '베스트 바이' 개입 중 하나는 소금 함량을 줄이기 위한 식품 재구성 및 식품/식사 나트륨 함량에 대한 목표 설정입니다.,소금 함량을 줄이기 위한 식품 재구성 및 식품/식사 나트륨 함량에 대한 목표 설정이다.,"세계보건기구, '세계 나트륨 섭취 저감 보고서' 발표","세계보건기구, '세계 나트륨 섭취 저감 보고서' 발표 세계보건기구(WHO)는 '세계 나트륨 섭취 저감 보고서'를 발표, 2025년까지 나트륨 섭취량을 30% 저감하는 세계적 목표 달성을 위해서는 막대한 노력이 요구된다고 함. 필수 영양소인 나트륨을 과다 섭취하면 심장병, 뇌졸중, 조기 사망 위험이 높아짐. 나트륨의 주요 공급원은 염화나트륨인 식탁용 소금(table salt)이지만, 글루탐산나트륨과 같은 다른 조미료에도 함유되어 있음.  보고서에 따르면 의무·포괄적인 나트륨 저감 정책으로 보호받는 WHO 회원국은 5%에 불과하며, W..."
878,유럽연합이 아동비만 저감을 위해 발표한 의견서는 어디에서 확인할 수 있나요?,"유럽연합이 아동비만 저감을 위한 조치 관련 의견서는 유럽연합 관보에 게재되었으므로, 해당 관보를 통해 확인할 수 있습니다.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.C_.2023.349.01.0108.01.ENGtoc=OJ%3AC%3A2023%3A349%3ATOC에서 확인할 수 있습니다.,"유럽연합, 아동비만 저감을 위한 조치 등에 관한 유럽경제사회위원회 의견서 게재","유럽연합, 아동비만 저감을 위한 조치 등에 관한 유럽경제사회위원회 의견서 게재 유럽연합(EU)은 2023년 9월 29일 자 관보를 통해 유럽경제사회위원회(EESC)​가 발표한 아동비만 저감을 위한 조치 등에 관한 의견서 다수를 게재하였으며, 그중 일부는 다음과 같았음. △ 아동비만 저감을 위한 조치 관련 의견서- URL: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.C_.2023.349.01.0108.01.ENGtoc=OJ%3AC%3A2023%3A349%3ATO..."
879,유럽연합이 2023년 6월 29일에 발표한 포장 및 포장재 폐기물 규정안 관련 의견서는 어디에서 확인할 수 있나요?,유럽연합이 2023년 6월 29일에 발표한 포장 및 포장재 폐기물 규정안 관련 의견서는 유럽연합 관보에서 확인 가능합니다.,https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2023.228.01.0114.01.ENGtoc=OJ:C:2023:228:TOC,"유럽연합, 포장 및 포장재 폐기물 규정안 등에 관한 유럽경제사회위원회 의견서 게재","유럽연합, 포장 및 포장재 폐기물 규정안 등에 관한 유럽경제사회위원회 의견서 게재 유럽연합(EU)은 2023년 6월 29일 자 관보를 통해 유럽경제사회위원회(EESC)​가 발표한 포장 및 포장재 폐기물 규정안 등에 관한 의견서 다수를 게재하였으며, 그중 일부는 다음과 같았음. △ 포장재 및 포장재 폐기물 규정안 관련 의견서- URL: https://eur-lex.europa.eu/legal-content/EN/AUTO/?uri=uriserv:OJ.C_.2023.228.01.0114.01.ENGtoc=OJ:C:2023:228:TOC△..."
880,세계경제포럼의 보고서에서 에티오피아는 어떤 역할을 하고 있는가?,에티오피아는 세계경제포럼 보고서에서 국가 전환 역량 강화의 사례로 언급되었습니다.,에티오피아는 국가 전환 역량 강화를 위한 사례로 언급되고 있다.,"세계경제포럼, 탄력적이고 포용적이며 지속가능하고 건강한 푸드시스템으로의 전환을 위한 국가 모델 보고서 게재","세계경제포럼, 탄력적이고 포용적이며 지속가능하고 건강한 푸드시스템으로의 전환을 위한 국가 모델 보고서 게재 2023년 1월 16일 세계경제포럼(WEF) 웹페이지에 '식품, 자연 및 보건 분야의 전환 - 반복가능한 국가 모델(Food, Nature and Health Transitions − Repeatable Country Models)' 보고서(*)가 게재되었음.  동 보고서는 국가 수준의 성공적인 푸드시스템 전환 연구에 대한 내용을 다룸. 또한 보다 탄력적이고 포용적이며 지속가능하고 건강한 푸드시스템으로의 전환을 가속화할 수 있..."
881,2022년 8월 오데르강에서 어류가 집단 폐사한 주요 원인은 무엇인가?,2022년 8월 오데르강 어류 집단 폐사의 주요 원인은 염분 증가로 인한 독성 조류인 Prymnesium parvum의 대량 증식임.,"Prymnesium parvum로 식별되는 독성 조류의 대량 증식으로 인해 약 360톤의 어류가 폐사했으며, 이는 광업과 같은 산업 활동으로 인해 염분 함량이 높은 산업 폐수가 오데르강으로 배출됨에 따라 강의 높은 염도로 인해 발생했을 가능성이 큽.","유럽집행위, 2022년 8월 독일-폴란드 국경 오데르강 어류 집단폐사 분석 보고서 발표","유럽집행위, 2022년 8월 독일-폴란드 국경 오데르강 어류 집단폐사 분석 보고서 발표 * 관련 기수집 정보: - 폴란드, 독일-폴란드 국경 오데르강에서 다량의 어류 폐사... 오염 가능성 경고(수집일자: 2022-08-12)- 독일 연방환경부, 8월 오데르강 어류 폐사 원인은 염분 증가로 인한 독성 조류의 대량 증식 (수집일자: 2022-10-04)  유럽연합 집행위원회는 2023년 2월 17일, 최근 유럽에서의 최대 생태 재앙 중 하나로 평가되며 2022년 7월에서 8월 사이에 발생한 오데르(Oder)강 어류 집단폐사 분석 보고..."
882,한-EU 그린파트너십의 주요 목표 중 하나는 무엇인가요?,"한-EU 그린파트너십의 주요 목표 중 하나는 환경 보호를 위한 협력으로, 대기, 수질, 토양 오염을 줄여 건강과 자연 생태계를 보호하는 것입니다.",2050년 무공해 비전을 위해 대기·수질·토양 오염을 건강과 자연 생태계에 해롭지 않은 수준으로 줄이는 것입니다.,"유럽연합, 지속가능한 푸드시스템 협력 등 한-EU 그린파트너십 체결","유럽연합, 지속가능한 푸드시스템 협력 등 한-EU 그린파트너십 체결 유럽연합(EU)과 대한민국은 그린파트너십(Green Partnership)을 체결하였으며, 2023년 5월 22일 자 유럽 이사회(European Council) 보도자료 중 식품안전과 연관된 내용은 다음과 같았음. - 환경 보호(Environmental Protection): 양측은 '2050년 무공해(Zero-pollution) 비전'을 위해 협력하여 대기·수질·토양 오염을 더 이상 건강과 자연 생태계에 해롭지 않은 수준으로 줄이고, 지구가 감당할 수 있는 한계..."
883,유럽연합의 새로운 포장재 규정이 언제부터 시행될 예정인가요?,"해당 문서에 명시된 바에 따르면, 새로운 포장재 규정은 일반적으로 채택 후 일 년의 유예 기간을 적용하기 때문에 2023년에 시행될 예정입니다.",해당 문서에 없음,"유럽연합, 포장재 및 포장재 폐기물 지침 개정안 채택 시 모든 포장재 재사용 및 재활용 목표 2030년까지 앞당겨 추진","유럽연합, 포장재 및 포장재 폐기물 지침 개정안 채택 시 모든 포장재 재사용 및 재활용 목표 2030년까지 앞당겨 추진 유럽연합(EU)의 새로운 포장재 규칙이 머지않아 적용될 수 있어, 제빵 및 제과업계가 시장 및 환경 요구사항을 더욱 잘 반영하는 포장재 요건 및 폐기물 관리 정책을 다루기 위한 준비를 갖추고 있음. 2022년 11월 30일 유럽연합 집행위원회는 2019년 지침과 (EU) 2019/2020 규정을 수정하는 '포장재 및 포장재 폐기물 규정(PPWD)' 개정안의 최종본을 제안(*)하였음. 동 개정안의 최종본이 채택될 경..."
884,lēf Farms의 'Spice' Packaged Salad Greens 회수는 왜 취소되었나요?,lēf Farms의 'Spice' Packaged Salad Greens 회수는 실험실 오류로 인한 것이라는 점 때문에 취소되었습니다. 해당 문서에 없음.,"실험실 오류로 인한 것으로, 오염은 실험실 자체에서 일어난 것이기 때문에 회수가 취소되었습니다.","미국 뉴햄프셔주 보건복지부, lēf Farms(사)의 샐러드 회수 취소 공지","미국 뉴햄프셔주 보건복지부, lēf Farms(사)의 샐러드 회수 취소 공지 *관련 기수집정보: [회수]미국 lēf Farms, 병원성 대장균 오염 가능성으로 포장 샐러드 회수(수집일자: 2023-05-05) 미국 뉴햄프셔주 보건복지부(DHHS)는 지난주에 발표된 lēf Farms(사)의 ""Spice"" Packaged Salad Greens에 대한 회수는 실험실 오류로 인한 것이며, 오염은 실험실 자체에서 일어난 것으로 회수 발표가 이루어진 제품은 안전하고 동 회수는 취소되었다고 발표했음...."
885,EFSA가 2023년 3월 13일에 게재한 'FoodEx2' 2022년 유지관리 보고서에는 어떤 내용이 포함되어 있나요?,"새로운 용어, 용어 간 상하관계, 일부 용어의 보고가능성 변경 및 기존 용어의 수정 내용이 포함되어 있음.","보고서에는 새로운 용어, 용어 간 상하관계, 일부 용어의 보고가능성 변경 및 기존 용어의 수정 등에 대한 내용이 포함되어 있습니다.","유럽식품안전청, 식품분류 및 소개 시스템 'FoodEx2' 2022년 유지관리 보고서 게재","유럽식품안전청, 식품분류 및 소개 시스템 'FoodEx2' 2022년 유지관리 보고서 게재 'FoodEx2'는 전체 식품안전 위해평가 과정에 걸쳐 샘플을 표현하고 해석하기 위해 표준화된 용어 사용의 기반을 제공하기 위한 포괄적 식품 분류 및 소개 시스템이며 EFSA에 의해 개발 및 유지됨. 용어와 샘플 코딩 프레임워크를 그 목적에 맞게 유지하고 발전하는 과학 및 법적 요구사항을 충족하기 위해서는 동 시스템을 정기적으로 유지 또는 관리하는 것이 중요함. 동 시스템은 지금까지 다섯 번의 주요 업데이트를 진행하였으며, 업데이트로 인한 모..."
886,에콰도르에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,에콰도르에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 2022년 11월 25일입니다.,2022년 11월 25일,"세계동물보건기구, 고병원성 조류 인플루엔자 동물 감염 현황(8.28)","세계동물보건기구, 고병원성 조류 인플루엔자 동물 감염 현황(8.28) 1. 에콰도르, H5N1 (후속보고서 8) - 최초발생일: 2022.11.25 - 발생보고일: 2023.8.25 - 발생규모(가금류): 의심1252257건, 감염1252257건, 폐사923668건, 살처분328589건, 도축0건 - 기타: 진행형이며, 추후 보고가 제출될 예정 - 원문: https://wahis.woah.org/#/in-review/4748..."
887,"Vitality Works, Inc가 회수하는 호로파 캡슐의 회수 사유는 무엇인가요?",펜(pen)의 이물 혼입으로 인한 회수입니다.,이물 혼입(펜(pen)),"[E/R]미국 Vitality Works, Inc, 펜 이물 혼입으로 호로파 캡슐 회수(1/2)","[E/R]미국 Vitality Works, Inc, 펜 이물 혼입으로 호로파 캡슐 회수(1/2) -지역: 미국(* 상세 지역은 언급되지 않음)-회수사: Vitality Works, Inc (회수중, 회수일: 8/22/2023)-회수사유: 이물 혼입(펜(pen))-제품명: 1) 100 vegetarian Fenugreek Capsules 90 count, 600mg, 150cc Amber Glass Bottle with White Polypropylene Cap. 다양한 브랜드명으로 유통됨(Lot 2023-06871) Expires:..."
888,Meijer Sweet Salty Trail Mix 12oz. 제품의 회수 이유는 무엇인가요?,Meijer Sweet Salty Trail Mix 12oz. 제품의 회수 이유는 알레르기 유발물질인 밀과 참깨가 제품 라벨에 표시되지 않았기 때문입니다.,"알레르기 유발물질 밀, 참깨 미표시","[E/R]미국 Meijer Inc, 알레르기 유발물질 밀 등 미표시로 견과류 믹스 회수","[E/R]미국 Meijer Inc, 알레르기 유발물질 밀 등 미표시로 견과류 믹스 회수 -지역: 미국 IL, IN, KY, MI, MO, OH, WI -제품명: Meijer Sweet  Salty Trail Mix 12oz. pouch, UPC 7 08820 10371 9(Sell By 12/28/2023)-회수사: Meijer Inc (회수종료, 회수일: 5/6/2023)-회수사유: 알레르기 유발물질 밀, 참깨 미표시..."
889,유럽식품안전청이 2022년도 연례 활동보고서를 발표한 날짜는 언제인가요?,유럽식품안전청이 2022년도 연례 활동보고서를 발표한 날짜는 2023년 6월 30일입니다.,2023년 6월 30일,"유럽식품안전청, 2022년도 연례 활동보고서 게재","유럽식품안전청, 2022년도 연례 활동보고서 게재 유럽식품안전청(EFSA)은 2023년 6월 30일, 2022년도 연례 활동보고서(*)를 게재하였음. (*) https://www.efsa.europa.eu/sites/default/files/2023-03/ar2022.pdf..."
890,The Cambio Spoon 유아용 숟가락의 회수 사유는 무엇인가요?,The Cambio Spoon 유아용 숟가락의 회수 사유는 제조 결함으로 인해 질식 방지 부분이 분리될 수 있어 유아의 질식 위험이 있기 때문입니다.,제조 결함으로 질식 방지 부분이 숟가락에서 분리될 수 있어 유아가 질식하거나 심각한 부상 또는 사망에 이를 수 있기 때문입니다.,"[회수]호주 The Cambio Collection, 질식 방지 부분의 분리로 인한 질식 가능성으로 유아용 숟가락 회수","[회수]호주 The Cambio Collection, 질식 방지 부분의 분리로 인한 질식 가능성으로 유아용 숟가락 회수 - 일자: 2023.06.30.- 유통지역: 호주 전역, 해외, 온라인 - 회수사: The Cambio Collection > 거래처 목록: https://www.productsafety.gov.au/system/files/Traders%20list_35.pdf- 제품정보: The Cambio Spoon Self-feeding baby spoon and teething toy > 색상: 남색, 더스트 핑크, 스톤 ..."
891,일본 후쿠시마 제1원전에서 방출된 ALPS 처리수의 삼중수소 농도는 어느 정도인가?,일본 후쿠시마 제1원전에서 방출된 ALPS 처리수의 삼중수소 농도는 일본이 정한 기준 미만이며 정확한 수치는 문서에 명시되지 않았음.,"삼중수소 농도는 일본의 운영 한계치인 1,500 Bq/L에 훨씬 못 미친다.","국제원자력기구, 일본 후쿠시마 제1원전 ALPS 처리수 2차 해양방출 시작... 삼중수소 농도 일본이 정한 기준 충족","국제원자력기구, 일본 후쿠시마 제1원전 ALPS 처리수 2차 해양방출 시작... 삼중수소 농도 일본이 정한 기준 충족 *관련 기수집 정보(수집일자 2023-10-05): - 일본 도쿄전력, 2차 처리수 방출 5일 오전 10:30경 개시 예정...트리튬 농도 계획 미만 - 일본 도쿄전력, 오전 10시 18분부터 후쿠시마 제1원자력발전소 2차 처리수 해양방출 개시일본 후쿠시마 현장의 국제원자력기구(IAEA) 전문가들의 확인에 따르면, 도쿄전력(TEPCO)이 오늘(10.5)부터 방류를 시작한 ALPS 희석처리수 2차분의 삼중수소 농도가 ..."
892,뉴질랜드 보건부는 비만 문제 해결을 위해 어떤 조치를 추진하고 있나요?,"뉴질랜드 보건부는 음식에 당(sugar)과 나트륨(salt)의 최대 기준을 설정하고 패스트 푸드 제공량 크기를 제한하는 방안을 추진하고 있으며, 음료에 첨가될 수 있는 당의 양을 제한하는 규정 도입을 검토 중입니다. 해당 문서에 없음",뉴질랜드 보건부는 음식에 당과 나트륨의 최대기준을 설정하고 패스트 푸드의 제공량 크기를 제한하는 것을 추진하고 있습니다.,"뉴질랜드 보건부, 비만 위기를 막으려는 보건부의 당, 나트륨 및 제공량 제한 추진하려 해","뉴질랜드 보건부, 비만 위기를 막으려는 보건부의 당, 나트륨 및 제공량 제한 추진하려 해 비만 위기를 멈추기 위해 보건 당국은 음식에 당(sugar)과 나트륨(salt)의 최대기준을 설정하고 패스트 푸드의 제공량 크기를 제한하는 것을 추진하고 있음. 전면적인 정크 푸드 단속을 위한 보건부의 제안은 RNZ 언론사 조사을 위하여 공식 정보법(Official Information Act)에 따라 입수한 문서에 공개되어 있음. 문서에 따르면, 공중보건청(Public Health Agency)의 고위 공무원이 발송한 이메일에서 1차산업부(M..."
893,Sunset View Creamer LLC의 미살균 원유가 오염된 원인은 무엇인가요?,해당 문서에 오염 원인에 대한 구체적인 정보는 없음.,캠필로박터 제주니 오염 가능성,"미국 뉴욕주 농업유통부, 캠필로박터 오염 가능성으로 Sunset View Creamer LLC(사)의 미살균 원유 섭취 경고","미국 뉴욕주 농업유통부, 캠필로박터 오염 가능성으로 Sunset View Creamer LLC(사)의 미살균 원유 섭취 경고 -일자: 2023.09.19.-유통지역: 미국 뉴욕주 스카일러 카운티(Schuyler County) 및 그 주변 지역-제조사: Sunset View Creamer LLC-제품명: unpasteurized raw milk-경고사유: 캠필로박터 제주니 오염 가능성-기타: 동 제품과 관련하여 현재까지 보고된 질병사례 없음..."
894,GIVE AND GO PREPARED FOODS CORP가 회수 중인 브라우니의 회수 사유는 무엇인가요?,플라스틱 이물 혼입 가능성으로 회수 중입니다.,플라스틱 이물 혼입 가능성,"[E/R]미국 GIVE AND GO PREPARED FOODS CORP, 플라스틱 이물 혼입 가능성으로 브라우니 회수","[E/R]미국 GIVE AND GO PREPARED FOODS CORP, 플라스틱 이물 혼입 가능성으로 브라우니 회수 -지역: 미국 전역-제품명: Item 19858, Amazon Fresh, Frosted Mini Brownie with yellow and purple icing with sprinkles, 팩당 12개. net wt. 14oz. Case UPC 1 08 42379 19858 5; Retail package UPC 8 42379 19858 8.(Consumer Unit Lot Code 23017 Shipping C..."
895,Gelato Boy Chocolate Chunk Gelato의 회수 사유는 무엇인가요?,Gelato Boy Chocolate Chunk Gelato의 회수 사유는 알레르기 유발물질 우유의 미표시입니다.,알레르기 유발물질 우유 미표시,"[E/R]미국 Gelato Boy, 알레르기 유발물질 우유 미표시로 젤라토 회수","[E/R]미국 Gelato Boy, 알레르기 유발물질 우유 미표시로 젤라토 회수 -지역: 미국 AZ, CA, CO, GA, MD, TX-제품명: Gelato Boy Chocolate Chunk Gelato, 종이컵과 뚜껑. 14 FL OZ, UPC: 853457008002. (4043T2 3994 PLANT M26019 BEST BY 04/25)-회수사: Gelato Boy (회수중, 회수일: 6/12/2023)-회수사유: 알레르기 유발물질 우유 미표시..."
896,"CE Farms, Inc.가 회수 중인 로메인 상추의 회수일은 언제인가요?","CE Farms, Inc.가 회수 중인 로메인 상추의 회수일은 2023년 8월 1일입니다.",8/1/2023,"[E/R]미국 C&E Farms, Inc., 사슴 배설물 오염 가능성으로 상추 회수","[E/R]미국 C&E Farms, Inc., 사슴 배설물 오염 가능성으로 상추 회수 -지역: 미국 MI, MA, UT, CA, TX, IL, MD; 수출 내역 없음. -제품명: Romaine lettuce packed in bulk 45-lb mini-bins(Tierrasol Ranch, Lot 23-27R017T)-회수사: CE Farms, Inc. (회수중, 회수일: 8/1/2023)-회수사유: 사슴 배설물 오염 가능성..."
897,Just Born Quality Confections(사)의 어떤 제품에 적색제 3호가 사용되었나요?,"Just Born Quality Confections(사)의 Peeps Pink Marshmallow Chicks, Peeps Pink Marshmallow Bunnies, Peeps Lavender Marshmallow Chicks, Peeps Lavender Marshmallow Bunnies 제품에 적색제 3호가 사용되었습니다.","Peeps Pink Marshmallow Chicks, Peeps Pink Marshmallow Bunnies, Peeps Lavender Marshmallow Chicks, Peeps Lavender Marshmallow Bunnies 제품에 적색제 3호가 사용되었습니다.","미국 컨슈머리포트, Just Born Quality Confections(사)에 적색제 3호 사용 금지 청원 서한 발송","미국 컨슈머리포트, Just Born Quality Confections(사)에 적색제 3호 사용 금지 청원 서한 발송 미국 소비자단체 컨슈머리포트(CR)은 Just Born Quality Confections(사)를 대상으로 동 사의 Peeps 제조시 적색제 3호 사용을 금지하도록 촉구하는 서한을 발송했음.  건강상 우려사항이 있음에도, 동 사의 Peeps Pink Marshmallow Chicks, Peeps Pink Marshmallow Bunnies, Peeps Lavender Marshmallow Chicks, Peeps ..."
898,미국은 후쿠시마 제1원자력발전소 처리수 방류 계획에 대해 어떤 입장을 보였나요?,미국은 후쿠시마 제1원자력발전소 처리수 방류 계획이 안전하고 국제적으로 인정된 원자력 안전기준에 부합한다는 국제원자력기구의 보고서를 환영하는 입장을 보였습니다..,미국은 일본의 후쿠시마 제1원자력발전소 처리수 방류 계획이 안전하고 국제적으로 인정된 원자력 안전기준에 부합한다는 국제원자력기구(IAEA)의 보고서를 환영했습니다.,"미국 국무부, 국제원자력기구의 후쿠시마 보고서 환영","미국 국무부, 국제원자력기구의 후쿠시마 보고서 환영 미국은 일본의 후쿠시마 제1원자력발전소 처리수 방류 계획이 안전하고 국제적으로 인정된 원자력 안전기준에 부합한다는 국제원자력기구(IAEA)의 보고서를 환영함. 2011년 원자력 사고 이후, 일본은 계획에 대해 IAEA와 적극적으로 조율하였고, 과학 기반의 투명한 절차를 수행하였음. 우리는 절차가 진행됨에 따라 일본과 IAEA의 지속적인 협력을 기대함...."
899,영국 소비자들이 식습관을 바꾼 주요 이유는 무엇인가?,주요 이유는 경제적 이유로 69%가 보고되었음.,식습관 변화의 주요 원인으로 경제적 이유(69%)가 보고되었음.,"영국 식품기준청, 식품 관련 소비자 설문조사 결과 경제적 이유로 소비자 대부분이 식습관 변화 겪어","영국 식품기준청, 식품 관련 소비자 설문조사 결과 경제적 이유로 소비자 대부분이 식습관 변화 겪어 영국 식품기준청(FSA)은 'Food and You 2' 소비자 설문조사의 5차 결과를 발표함. 조사는 잉글랜드, 웨일스, 북아일랜드 4,727 가구의 성인 6,770명을 대상으로 2022년 4월 26일부터 7월 24일까지 진행되었음.  식품 관련 행동 및 식습관  - 응답자 대부분은 지난 12개월 동안 식습관을 바꾸었음. (식품 비용 절감 및 식품 관리 행동의 증가)- 식습관 변화의 주요 원인으로 경제적 이유(69%), 건강상 이유(..."
900,"Vinyard Fruit & Vegetable Co., LLC가 회수하는 과일 제품의 회수 사유는 무엇인가요?",살모넬라 오염 가능성 때문입니다.,살모넬라 오염 가능성,"[E/R]미국 Vinyard Fruit & Vegetable Co., LLC, 살모넬라 오염 가능성으로 과일 회수","[E/R]미국 Vinyard Fruit & Vegetable Co., LLC, 살모넬라 오염 가능성으로 과일 회수 -지역: 미국 Oklahoma. -제품명: Fruit Medley Cup 16/6 oz 3300-3 Cantaloupe Cube (2/5 lb) 3338-3 Fruit Mix Kit (4/5 lb) (Tray) 2963-3 3 Melon 16/6 oz cups 3330-3 Fruit Mix (2/5 lb) 3301-3 Cantaloupe Cube (5 lb) 3304-3 Cantaloupe Cubed 10/12 oz c..."
901,2018년 유럽연합/유럽경제지역에서 편모충증의 통보율은 어느 연령대에서 가장 높았나요?,2018년 유럽연합/유럽경제지역에서 편모충증의 통보율은 0~4세 연령대에서 가장 높았습니다.,0~4세 연령에서 가장 높은 통보율이 관찰되었음.,"유럽질병예방통제센터, 2018년 편모충증 연례 역학보고서 게재","유럽질병예방통제센터, 2018년 편모충증 연례 역학보고서 게재 유럽질병예방통제센터(ECDC)는 2018년의 편모충증(Giardiasis) 연례 역학보고서(*)를 게재하였음. ― 2018년 유럽연합/유럽경제지역(EU/EEA)에서 21,049건의 편모충증 확진 사례가 보고되었으며, 통보율은 인구 10만 명 당 5.6건이었음. ― 벨기에, 불가리아, 스웨덴에서 가장 높은 통보율이 보고되었으며, 인구 10만 명 당 가장 높은 통보율은 0~4세 연령에서 관찰되었음(남성 17.2, 여성 14.4).― 2014년부터 2018년까지 EU/EEA의..."
902,싱가포르에서 2018년부터 2021년까지 식중독의 주요 원인은 무엇인가?,싱가포르에서 2018년부터 2021년까지 식중독의 주요 원인은 클로스트리디움 퍼프린젠스와 살모넬라균이었습니다.,클로스트리듐 퍼프린젠스와 살모넬라균이 주요 원인이다.,"싱가포르 식품청 등 연구진, 싱가포르에서 가장 많이 발생한 식중독 원인은 클로스트리디움 퍼프린젠스","싱가포르 식품청 등 연구진, 싱가포르에서 가장 많이 발생한 식중독 원인은 클로스트리디움 퍼프린젠스 싱가포르 식품청, 보건부 등의 연구에 따르면, 2018년부터 2021년까지 싱가포르에서 발생한 식중독의 가장 큰 원인 병원체는 클로스트리듐 퍼프린젠스와 살모넬라균이였음. 2018년 1월부터 2021년 12월까지 7,538건의 사례와 관련된 총 171건의 발병에 대해 조사하였음.  121건의 식중독 발병 중 42% 이상이 케이터링 업체(caterers)에서 조리한 음식에서 발생했고, 12.4%는 구내 식당(in-house kitchen)..."
